Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
76905,3.0,1,1,1
16643,3.0,1,1,1
21416,3.0,1,1,1
373864,3.0,1,1,1
20304,3.0,1,1,1
20343,3.0,1,1,1
14083,3.0,1,1,1
22630,3.0,1,1,1
14608,3.0,1,1,1
13048,3.0,1,1,1
18174,3.0,1,1,1
242341,3.0,1,1,1
20230,3.0,1,1,1
12322,3.0,1,1,1
12775,3.0,1,1,1
237860,3.0,1,1,1
20351,3.0,1,1,1
12550,3.0,1,1,1
545156,3.0,1,1,1
26365,3.0,1,1,1
17127,3.0,1,1,1
17869,3.0,1,1,1
16842,3.0,1,1,1
12043,3.0,1,1,1
212517,3.0,1,1,1
66214,3.0,1,1,1
80901,3.0,1,1,1
16190,3.0,1,1,1
73094,3.0,1,1,1
170770,3.0,1,1,1
18479,3.0,1,1,1
21885,3.0,1,1,1
13609,3.0,1,1,1
244416,3.0,1,1,1
50874,3.0,1,1,1
13631,3.0,1,1,1
14268,3.0,1,1,1
228775,3.0,1,1,1
223435,3.0,1,1,1
27360,3.0,1,1,1
545030,3.0,1,1,1
20437,3.0,1,1,1
12579,3.0,1,1,1
67071,3.0,1,1,1
11482,3.0,1,1,1
14131,3.0,1,1,1
17999,3.0,1,1,1
15902,3.0,1,1,1
11555,3.0,1,1,1
12769,3.0,1,1,1
18793,3.0,1,1,1
329152,3.0,1,1,1
105844,3.0,1,1,1
15979,3.0,1,1,1
105651,3.0,1,1,1
16197,3.0,1,1,1
216033,3.0,1,1,1
329278,3.0,1,1,1
22165,3.0,1,1,1
11975,3.0,1,1,1
18708,3.0,1,1,1
12826,3.0,1,1,1
17888,3.0,1,1,1
22351,3.0,1,1,1
213402,3.0,1,1,1
320207,3.0,1,1,1
12227,3.0,1,1,1
17444,3.0,1,1,1
22695,3.0,1,1,1
19055,3.0,1,1,1
14159,3.0,1,1,1
18752,3.0,1,1,1
11910,3.0,1,1,1
106766,2.0,1,0,1
69900,2.0,1,0,1
252973,2.0,1,1,0
13998,2.0,1,0,1
94217,2.0,1,0,1
29856,2.0,1,0,1
72106,2.0,1,1,0
52187,2.0,1,0,1
27413,2.0,1,0,1
69219,2.0,1,1,0
214804,2.0,1,0,1
279029,2.0,1,0,1
52857,2.0,1,0,1
14247,2.0,1,0,1
13497,2.0,1,0,1
235534,2.0,1,1,0
14605,2.0,1,1,0
97998,2.0,1,0,1
75578,2.0,1,0,1
17057,2.0,1,0,1
67332,2.0,1,0,1
18514,2.0,1,0,1
